lat,lon,distance_km,access_level
10.377591,-1.2860766,5.556406578209719,moderate
10.427591,-1.2860766,6.0207365739569045,moderate
10.377591,-1.2360766,5.677842870826249,moderate
10.427591,-1.2360766,5.907209434325836,moderate
10.477591000000002,-1.2360766,0.8793299197944127,good
10.527591000000005,-1.2360766,5.335998231064729,moderate
10.577591000000004,-1.2360766,4.776074647708846,good
10.377591,-1.1860765999999998,8.645903253892683,moderate
10.427591,-1.1860765999999998,7.463605496804377,moderate
10.477591000000002,-1.1860765999999998,4.645444207224793,good
10.527591000000005,-1.1860765999999998,5.065862088470332,moderate
10.577591000000004,-1.1860765999999998,0.9036274571760852,good
10.627591000000004,-1.1860765999999998,6.14749418521272,moderate
10.677591000000003,-1.1860765999999998,11.687103371964684,poor
10.377591,-1.1360765999999998,13.30753455891572,poor
10.427591,-1.1360765999999998,11.674842851954187,poor
10.477591000000002,-1.1360765999999998,10.107606780730586,poor
10.527591000000005,-1.1360765999999998,7.963295600905645,moderate
10.577591000000004,-1.1360765999999998,6.209792287338502,moderate
10.627591000000004,-1.1360765999999998,8.690828660548041,moderate
10.677591000000003,-1.1360765999999998,13.20306875285977,poor
10.727591000000006,-1.1360765999999998,18.05677019027208,poor
10.777591000000006,-1.1360765999999998,12.873808941491596,poor
10.427591,-1.0860765999999995,16.633844026502068,poor
10.477591000000002,-1.0860765999999995,15.57317912091882,poor
10.527591000000005,-1.0860765999999995,12.685197542009634,poor
10.577591000000004,-1.0860765999999995,11.66386818700869,poor
10.627591000000004,-1.0860765999999995,13.152904436871816,poor
10.677591000000003,-1.0860765999999995,16.48555303301928,poor
10.727591000000006,-1.0860765999999995,17.196683484702337,poor
10.777591000000006,-1.0860765999999995,11.63696585088396,poor
10.827591000000009,-1.0860765999999995,6.077300725868182,moderate
10.877591000000008,-1.0860765999999995,0.5193770952167387,good
10.427591,-1.0360765999999997,21.83698326080835,poor
10.477591000000002,-1.0360765999999997,20.12160129741685,poor
10.527591000000005,-1.0360765999999997,17.8371364228517,poor
10.577591000000004,-1.0360765999999997,17.125111461738797,poor
10.627591000000004,-1.0360765999999997,18.171319687928825,poor
10.677591000000003,-1.0360765999999997,20.71100397467896,poor
10.727591000000006,-1.0360765999999997,16.0631593209442,poor
10.777591000000006,-1.0360765999999997,11.145175320730887,poor
10.827591000000009,-1.0360765999999997,7.2267778062304115,moderate
10.877591000000008,-1.0360765999999997,5.439020561458061,moderate
10.477591000000002,-0.9860765999999996,24.938168720141974,poor
10.527591000000005,-0.9860765999999996,23.13356155190237,poor
10.577591000000004,-0.9860765999999996,22.588323990467128,poor
10.627591000000004,-0.9860765999999996,23.05585891947716,poor
10.677591000000003,-0.9860765999999996,19.07954690883006,poor
10.727591000000006,-0.9860765999999996,14.832168079329536,poor
10.777591000000006,-0.9860765999999996,9.283823488274244,moderate
10.827591000000009,-0.9860765999999996,3.769231415083272,good
10.877591000000008,-0.9860765999999996,2.011564224811375,good
10.927591000000008,-0.9860765999999996,0.984401553291881,good
10.477591000000002,-0.9360765999999996,29.97839884690877,poor
10.527591000000005,-0.9360765999999996,25.87158382044912,poor
10.577591000000004,-0.9360765999999996,21.67762011419212,poor
10.627591000000004,-0.9360765999999996,18.229674018702365,poor
10.677591000000003,-0.9360765999999996,15.742449370129023,poor
10.727591000000006,-0.9360765999999996,11.284967568011965,poor
10.777591000000006,-0.9360765999999996,8.288413641407779,moderate
10.827591000000009,-0.9360765999999996,5.9850811166886375,moderate
10.877591000000008,-0.9360765999999996,5.065260556669194,moderate
10.927591000000008,-0.9360765999999996,4.660009336512945,good
10.477591000000002,-0.8860765999999995,28.124043482849142,poor
10.527591000000005,-0.8860765999999995,23.016157041607045,poor
10.577591000000004,-0.8860765999999995,18.17544099898559,poor
10.627591000000004,-0.8860765999999995,13.884211661321238,poor
10.677591000000003,-0.8860765999999995,10.81746360337142,poor
10.727591000000006,-0.8860765999999995,8.41608904463297,moderate
10.777591000000006,-0.8860765999999995,3.4910230429025755,good
10.827591000000009,-0.8860765999999995,2.265740182286184,good
10.877591000000008,-0.8860765999999995,3.3561054794262866,good
10.927591000000008,-0.8860765999999995,6.193039143832877,moderate
10.527591000000005,-0.8360765999999995,21.210129716043596,poor
10.577591000000004,-0.8360765999999995,15.826743895737726,poor
10.627591000000004,-0.8360765999999995,10.6265511829175,poor
10.677591000000003,-0.8360765999999995,6.097778749436773,moderate
10.727591000000006,-0.8360765999999995,4.823252973153731,good
10.777591000000006,-0.8360765999999995,1.393330291352064,good
10.827591000000009,-0.8360765999999995,2.6002547176675046,good
10.877591000000008,-0.8360765999999995,6.051044758362991,moderate
10.927591000000008,-0.8360765999999995,4.737496446903292,good
10.527591000000005,-0.7860765999999995,20.729621421222877,poor
10.577591000000004,-0.7860765999999995,15.176848038765057,poor
10.627591000000004,-0.7860765999999995,9.632122646301085,moderate
10.677591000000003,-0.7860765999999995,4.128003768417883,good
10.727591000000006,-0.7860765999999995,1.7676542953388994,good
10.777591000000006,-0.7860765999999995,0.7507071773650648,good
10.827591000000009,-0.7860765999999995,4.104360029262012,good
10.877591000000008,-0.7860765999999995,9.6122452060018,moderate
10.927591000000008,-0.7860765999999995,8.131770361094656,moderate
10.97759100000001,-0.7860765999999995,6.803264574134917,moderate
10.577591000000004,-0.7360765999999994,16.428613398055155,poor
10.627591000000004,-0.7360765999999994,11.503648285350287,poor
10.677591000000003,-0.7360765999999994,6.837747531722545,moderate
10.727591000000006,-0.7360765999999994,1.9437695106040909,good
10.777591000000006,-0.7360765999999994,2.2947330747802344,good
10.827591000000009,-0.7360765999999994,7.046913799277795,moderate
10.877591000000008,-0.7360765999999994,11.469224621070506,poor
10.927591000000008,-0.7360765999999994,13.015344117641977,poor
10.97759100000001,-0.7360765999999994,12.228673453497583,poor
10.577591000000004,-0.6860765999999994,18.176865306603386,poor
10.627591000000004,-0.6860765999999994,12.797529493588351,poor
10.677591000000003,-0.6860765999999994,7.679625051875078,moderate
10.727591000000006,-0.6860765999999994,3.9997589638360695,good
10.777591000000006,-0.6860765999999994,0.7960805090101186,good
10.827591000000009,-0.6860765999999994,5.430045569783199,moderate
10.877591000000008,-0.6860765999999994,10.961688002133773,poor
10.927591000000008,-0.6860765999999994,16.512218841677072,poor
10.97759100000001,-0.6860765999999994,17.6742215103542,poor
10.627591000000004,-0.6360765999999993,15.352457061214958,poor
10.677591000000003,-0.6360765999999993,11.440541167734477,poor
10.727591000000006,-0.6360765999999993,8.479213138599624,moderate
10.777591000000006,-0.6360765999999993,6.238653477580993,moderate
10.827591000000009,-0.6360765999999993,8.232015414945879,moderate
10.877591000000008,-0.6360765999999993,12.58701303667842,poor
10.927591000000008,-0.6360765999999993,17.632959348734953,poor
10.97759100000001,-0.6360765999999993,18.332644363612587,poor
10.627591000000004,-0.5860765999999993,19.165500987227563,poor
10.677591000000003,-0.5860765999999993,16.201321342314166,poor
10.727591000000006,-0.5860765999999993,13.033027691499328,poor
10.777591000000006,-0.5860765999999993,11.699030135878017,poor
10.827591000000009,-0.5860765999999993,12.872307117267477,poor
10.877591000000008,-0.5860765999999993,13.961184413941156,poor
10.927591000000008,-0.5860765999999993,12.349985933064085,poor
10.97759100000001,-0.5860765999999993,13.113013250873632,poor
10.627591000000004,-0.5360765999999992,23.635402017314945,poor
10.677591000000003,-0.5360765999999992,20.550717047561267,poor
10.727591000000006,-0.5360765999999992,18.09673769474585,poor
10.777591000000006,-0.5360765999999992,17.160223433530653,poor
10.827591000000009,-0.5360765999999992,13.947370894049593,poor
10.877591000000008,-0.5360765999999992,9.504351544530964,moderate
10.927591000000008,-0.5360765999999992,6.925155338113739,moderate
10.97759100000001,-0.5360765999999992,8.210017623679356,moderate
10.677591000000003,-0.4860765999999992,25.291685355051065,poor
10.727591000000006,-0.4860765999999992,23.310732156816204,poor
10.777591000000006,-0.4860765999999992,17.763958060076483,poor
10.827591000000009,-0.4860765999999992,12.228971167318706,poor
10.877591000000008,-0.4860765999999992,6.734895933843752,moderate
10.927591000000008,-0.4860765999999992,1.7295861487446196,good
10.97759100000001,-0.4860765999999992,4.737686231673406,good
10.677591000000003,-0.4360765999999991,29.11507885288054,poor
10.727591000000006,-0.4360765999999991,23.62269668809873,poor
10.777591000000006,-0.4360765999999991,18.17133267472989,poor
10.827591000000009,-0.4360765999999991,12.806031841825671,poor
10.877591000000008,-0.4360765999999991,7.70310718885058,moderate
10.927591000000008,-0.4360765999999991,4.062366299936909,good
10.97759100000001,-0.4360765999999991,5.957292196097468,moderate
11.02759100000001,-0.4360765999999991,10.784126827304092,poor
10.727591000000006,-0.3860765999999991,25.127655331651365,poor
10.777591000000006,-0.3860765999999991,20.077033318667976,poor
10.827591000000009,-0.3860765999999991,15.381709437115688,poor
10.877591000000008,-0.3860765999999991,11.486000933884716,poor
10.927591000000008,-0.3860765999999991,9.438271219613457,moderate
10.97759100000001,-0.3860765999999991,10.394961457034112,poor
11.02759100000001,-0.3860765999999991,13.18564139794286,poor
10.727591000000006,-0.336076599999999,27.634466973552783,poor
10.777591000000006,-0.336076599999999,23.13719793020577,poor
10.827591000000009,-0.336076599999999,19.20462282950787,poor
10.877591000000008,-0.336076599999999,16.251972028002747,poor
10.927591000000008,-0.336076599999999,14.874713388419078,poor
10.97759100000001,-0.336076599999999,10.795061034870493,poor
11.02759100000001,-0.336076599999999,7.852756368816537,moderate
10.727591000000006,-0.286076599999999,27.17697016483577,poor
10.777591000000006,-0.286076599999999,25.582616851404875,poor
10.827591000000009,-0.286076599999999,23.678177852027957,poor
10.877591000000008,-0.286076599999999,18.94905288769991,poor
10.927591000000008,-0.286076599999999,13.43744307919287,poor
10.97759100000001,-0.286076599999999,7.99279075179972,moderate
11.02759100000001,-0.286076599999999,3.004344824976751,good
10.777591000000006,-0.2360765999999989,20.24301627919159,poor
10.827591000000009,-0.2360765999999989,19.68563654477234,poor
10.877591000000008,-0.2360765999999989,19.130762883608952,poor
10.927591000000008,-0.2360765999999989,13.69245016817456,poor
10.97759100000001,-0.2360765999999989,8.414383371694072,moderate
11.02759100000001,-0.2360765999999989,3.6580606247266463,good
10.777591000000006,-0.1860765999999989,14.991343638269925,poor
10.827591000000009,-0.1860765999999989,14.23080417654653,poor
10.877591000000008,-0.1860765999999989,15.559969376337088,poor
10.927591000000008,-0.1860765999999989,15.614710935591871,poor
10.97759100000001,-0.1860765999999989,10.51692345299715,poor
10.827591000000009,-0.1360765999999988,8.783428116895232,moderate
10.877591000000008,-0.1360765999999988,10.805851227647912,poor
10.927591000000008,-0.1360765999999988,14.771789049541718,poor
10.827591000000009,-0.0860765999999988,3.3797567161297213,good
